Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_StarMicronics_QMX,1,Buzzer,
"C1, C5",1206,2,100µF,
"C2, C4, C6, C8",0805,4,0.1µF,
"C3, C7",CP_Radial_D10.0mm_P5.00mm,2,1000µF,
D1,D_SMA,1,D,
"D2, D3",D_SMA,2,D_Schottky,
"D4, D5",D_SMB_Handsoldering,2,D,
J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
J3,Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,1,RTC_OUT,
J4,Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,1,RESET_BTN,
J5,orangepi_3b,1,Conn_02x20_Odd_Even,
K1,AHQSH105LM100G,1,AHQSH105LM100G,
"L1, L2",L_Radial_D10.0mm_P5.00mm_Neosid_SD12k_style3,2,L,
"LM2596HVGDP-1, LM2596HVGDP-2",SOIC-8_3.9x4.9mm_P1.27mm,2,~,
Q1,TSOT-23_HandSoldering,1,NPN,
R1,0805,1,1K,
R2,0805,1,10K,
R3,0805,1,1K07,
R4,0805,1,1K96,
RTC,BAT_1066,1,1066,
